"ech","type","date","parcelle","trt","block","sub_ech","poids","vol_saline","Filtre","temoin","run","Plaque_PCR","rep_seq","rep_run","pseudo_count","bact_count","pseudo_rawcount","bact_rawcount","dil_rif","count_rif","dil_tsa","X"
"P68","P68","Seigle","Date 1","22","Seigle_Bru",6,2,9.42,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P69","P69","Seigle","Date 1","22","Seigle_Bru",6,3,9.06,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P70","P70","Seigle","Date 1","24","Seigle",6,1,15.63,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P71","P71","Seigle","Date 1","24","Seigle",6,2,13.23,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P72","P72","Seigle","Date 1","24","Seigle",6,3,12.22,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P73","P73","Seigle","Date 2","3","Seigle",1,1,7.44,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P74","P74","Seigle","Date 2","3","Seigle",1,2,4,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P75","P75","Seigle","Date 2","3","Seigle",1,3,4.74,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P76","P76","Seigle","Date 2","4","Seigle_Bru",1,1,5.28,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P77","P77","Seigle","Date 2","4","Seigle_Bru",1,2,5.06,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P78","P78","Seigle","Date 2","4","Seigle_Bru",1,3,5.48,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P79","P79","Seigle","Date 2","6","Seigle_Bru",2,1,4.64,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P80","P80","Seigle","Date 2","6","Seigle_Bru",2,2,5.23,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P81","P81","Seigle","Date 2","6","Seigle_Bru",2,3,4.03,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P82","P82","Seigle","Date 2","8","Seigle",2,1,9.74,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P83","P83","Seigle","Date 2","8","Seigle",2,2,5.64,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P84","P84","Seigle","Date 2","8","Seigle",2,3,5.07,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P85","P85","Seigle","Date 2","10","Seigle",3,1,5.93,"110",NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P86.1","P86.1","Seigle","Date 2","10","Seigle",3,2,5.82,"110",NA,NA,1,"2","x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"P86.2","P86.2","Seigle","Date 2","10","Seigle",3,2,5.82,"110",NA,NA,1,"2","x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"P87","P87","Seigle","Date 2","10","Seigle",3,3,5.44,"110",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P88","P88","Seigle","Date 2","11","Seigle_Bru",3,1,6.41,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P89","P89","Seigle","Date 2","11","Seigle_Bru",3,2,5.7,"110",NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P90","P90","Seigle","Date 2","11","Seigle_Bru",3,3,5.59,"110",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P91","P91","Seigle","Date 2","15","Seigle",4,1,4.5,"110",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P92","P92","Seigle","Date 2","15","Seigle",4,2,6.6,"110",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P93","P93","Seigle","Date 2","15","Seigle",4,3,7.24,"110",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P94","P94","Seigle","Date 2","16","Seigle_Bru",4,1,6.71,"110",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P95","P95","Seigle","Date 2","16","Seigle_Bru",4,2,6.65,"110",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P96","P96","Seigle","Date 2","16","Seigle_Bru",4,3,6.43,"110",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P97","P97","Seigle","Date 2","18","Seigle",5,1,5.97,"110",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P98","P98","Seigle","Date 2","18","Seigle",5,2,6.08,"110",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P99","P99","Seigle","Date 2","18","Seigle",5,3,7.64,"110",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P100","P100","Seigle","Date 2","19","Seigle_Bru",5,1,5.95,"110",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P101","P101","Seigle","Date 2","19","Seigle_Bru",5,2,6.16,"110",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P102","P102","Seigle","Date 2","19","Seigle_Bru",5,3,5.7,"110",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P103","P103","Seigle","Date 2","22","Seigle_Bru",6,1,5.8,"110",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
