"ech","type","date","parcelle","trt","block","sub_ech","poids","vol_saline","Filtre","temoin","run","Plaque_PCR","rep_seq","rep_run","pseudo_count","bact_count","pseudo_rawcount","bact_rawcount","dil_rif","count_rif","dil_tsa","X"
"C170","C170","Courge","Date 3","9","Sol_nu",3,2,29.04,"125",NA,NA,1,"3",NA,NA,5.11,7.86,129132,73174931,0.1,30,1e-04,17
"C171","C171","Courge","Date 3","9","Sol_nu",3,3,27.12,"125",NA,NA,1,"3",NA,NA,5.44,8.06,276549,115228614,0.01,6,1e-04,25
"C172.1","C172.1","Courge","Date 3","10","Seigle",3,1,16.3,"125",NA,NA,2,"7","1",NA,3.73,6.84,5368,6901840,1,7,1,9
"C172.2","C172.2","Courge","Date 3","10","Seigle",3,1,16.3,"125",NA,NA,2,"8","2",NA,3.73,6.84,5368,6901840,1,7,1,9
"C173.1","C173.1","Courge","Date 3","10","Seigle",3,2,14.48,"125",NA,NA,2,"7","1",NA,4.78,7.54,60428,34530387,0.1,7,1,40
"C173.2","C173.2","Courge","Date 3","10","Seigle",3,2,14.48,"125",NA,NA,2,"8","1",NA,4.78,7.54,60428,34530387,0.1,7,1,40
"C174.1","C174.1","Courge","Date 3","10","Seigle",3,3,18.43,"125",NA,NA,2,"7","1",NA,5.21,8.06,162778,115301139,0.1,24,1e-04,17
"C174.2","C174.2","Courge","Date 3","10","Seigle",3,3,18.43,"125",NA,NA,2,"8","2",NA,5.21,8.06,162778,115301139,0.1,24,1e-04,17
"C175","C175","Courge","Date 3","11","Seigle_Bru",3,1,17.22,"125",NA,NA,1,"3",NA,NA,5.56,7.71,362950,50813008,0.01,5,1e-04,7
"C176","C176","Courge","Date 3","11","Seigle_Bru",3,2,25.71,"125",NA,NA,1,"3",NA,NA,5.07,7.19,116686,15558149,0.1,24,1,32
"C177","C177","Courge","Date 3","11","Seigle_Bru",3,3,18.37,"125",NA,NA,1,"3",NA,NA,4.95,8.26,88459,183723462,0.1,13,1e-04,27
"C178","C178","Courge","Date 3","12","Plastique",3,1,20.98,"125",NA,NA,2,"7",NA,NA,5.1,8.17,125119,148951382,0.1,21,1e-04,25
"C179","C179","Courge","Date 3","12","Plastique",3,2,14.4,"125",NA,NA,2,"7",NA,NA,4.24,8.43,17361,269097222,0.1,2,1e-04,31
"C180","C180","Courge","Date 3","12","Plastique",3,3,26.36,"125",NA,NA,2,"7",NA,NA,6.37,8.34,2371017,218133536,1,5,1e-04,46
"C181","C181","Courge","Date 3","13","Plastique",4,1,20.68,"125",NA,NA,1,"3",NA,NA,2.78,8.37,604,235735010,1,1,1e-04,39
"C182","C182","Courge","Date 3","13","Plastique",4,2,27.6,"125",NA,NA,1,"3",NA,NA,4.5,8.38,31703,240036232,0.1,7,1e-04,53
"C183","C183","Courge","Date 3","13","Plastique",4,3,18.56,"125",NA,NA,1,"3",NA,NA,6.78,8.79,6061422,612877155,1,9,1e-04,91
"C184","C184","Courge","Date 3","14","Sol_nu",4,1,25.26,"125",NA,NA,2,"7",NA,NA,4.47,7.9,29691,79176564,0.1,6,1e-04,16
"C185","C185","Courge","Date 3","14","Sol_nu",4,2,22.84,"125",NA,NA,2,"7",NA,NA,4.91,8.12,82093,131348511,0.1,15,1e-04,24
"C186","C186","Courge","Date 3","14","Sol_nu",4,3,23.77,"125",NA,NA,2,"7",NA,NA,4.32,8.1,21035,126209508,0.1,4,1e-04,24
"C187","C187","Courge","Date 3","15","Seigle",4,1,27.3,"125",NA,NA,1,"4",NA,NA,5.14,8.23,137363,169413919,0.01,3,1e-04,37
"C188","C188","Courge","Date 3","15","Seigle",4,2,20.95,"125",NA,NA,1,"4",NA,NA,4.85,5.08,71599,119332,0.1,12,0.1,20
"C189","C189","Courge","Date 3","15","Seigle",4,3,23.8,"125",NA,NA,1,"4",NA,NA,4.9,8.36,78782,231092437,0.1,15,1e-04,44
"C190","C190","Courge","Date 3","16","Seigle_Bru",4,1,26.01,"125",NA,NA,2,"8",NA,NA,3.38,8.14,2403,139369473,1,5,1e-04,29
"C191","C191","Courge","Date 3","16","Seigle_Bru",4,2,19.22,"125",NA,NA,2,"8",NA,NA,5.21,8.34,162591,221123829,0.1,25,1e-04,34
"C192","C192","Courge","Date 3","16","Seigle_Bru",4,3,14.45,"125",NA,NA,2,"8",NA,NA,4.41,8.35,25952,224913495,0.1,3,1e-04,26
"C193","C193","Courge","Date 3","17","Plastique",5,1,25.24,"125",NA,NA,1,"4",NA,NA,4.14,8.11,13867,128763867,1,28,1e-04,26
"C194","C194","Courge","Date 3","17","Plastique",5,2,24.11,"125",NA,NA,1,"4",NA,NA,5.16,8.42,145168,264413107,0.1,28,1e-04,51
"C195","C195","Courge","Date 3","17","Plastique",5,3,21.92,"125",NA,NA,1,"4",NA,NA,5.08,8.25,119754,176779197,0.1,21,1e-04,31
"C196","C196","Courge","Date 3","18","Seigle",5,1,19.34,"125",NA,NA,2,"8",NA,NA,4.59,8.17,38780,148655636,0.1,6,1e-04,23
"C197","C197","Courge","Date 3","18","Seigle",5,2,17.44,"125",NA,NA,2,"8",NA,NA,3.55,7.93,3584,86009174,1,5,1e-04,12
"C198","C198","Courge","Date 3","18","Seigle",5,3,24.76,"125",NA,NA,2,"8",NA,NA,4.12,7.05,13126,11106624,1,26,1,22
"C199","C199","Courge","Date 3","19","Seigle_Bru",5,1,21.11,"125",NA,NA,1,"4",NA,NA,4.98,7.95,94742,88820464,0.1,16,1e-04,15
"C200","C200","Courge","Date 3","19","Seigle_Bru",5,2,26.51,"125",NA,NA,1,"4",NA,NA,4.28,7.71,18861,51867220,0.1,4,1e-04,11
"C201","C201","Courge","Date 3","19","Seigle_Bru",5,3,27.44,"125",NA,NA,1,"4",NA,NA,4.44,7.86,27332,72886297,0.1,6,1e-04,16
"C202","C202","Courge","Date 3","20","Sol_nu",5,1,18.38,"125",NA,NA,2,"8",NA,NA,5.01,8.15,102013,142818281,0.1,15,1e-04,21
"C203.1","C203.1","Courge","Date 3","20","Sol_nu",5,2,22.78,"125",NA,NA,2,"8","1",NA,4.74,8.14,54873,137181738,0.1,10,1e-04,25
"C203.2","C203.2","Courge","Date 3","20","Sol_nu",5,2,22.78,"125",NA,NA,2,"8","2",NA,4.74,8.14,54873,137181738,0.1,10,1e-04,25
"C204.1","C204.1","Courge","Date 3","20","Sol_nu",5,3,24.56,"125",NA,NA,2,"8","1",NA,5.01,8.3,101792,198493485,0.1,20,1e-04,39
"C204.2","C204.2","Courge","Date 3","20","Sol_nu",5,3,24.56,"125",NA,NA,2,"8","2",NA,5.01,8.3,101792,198493485,0.1,20,1e-04,39
"C205","C205","Courge","Date 3","21","Sol_nu",6,1,19.33,"125",NA,NA,1,"4",NA,NA,3.92,7.26,8407,18106570,1,13,1,28
"C206","C206","Courge","Date 3","21","Sol_nu",6,2,18.3,"250",NA,NA,1,"4",NA,NA,3.83,8.28,6831,191256831,1,5,1e-04,14
"C207","C207","Courge","Date 3","21","Sol_nu",6,3,19,"125",NA,NA,1,"4",NA,NA,3.77,6.41,5921,2565789,1,9,0.01,39
"C208","C208","Courge","Date 3","22","Seigle_Bru",6,1,22.43,"125",NA,NA,2,"8",NA,NA,4.59,7.83,39010,66874721,0.1,7,1e-04,12
"C209","C209","Courge","Date 3","22","Seigle_Bru",6,2,26.5,"125",NA,NA,2,"8",NA,NA,3.9,7.95,8019,89622642,1,17,1e-04,19
"C210","C210","Courge","Date 3","22","Seigle_Bru",6,3,16,"125",NA,NA,2,"8",NA,NA,5.93,7.74,859375,54687500,0.01,11,1e-04,7
"C211","C211","Courge","Date 3","23","Plastique",6,1,26.57,"125",NA,NA,1,"4",NA,NA,5.18,8.15,150546,141136620,0.1,32,1e-04,30
"C212","C212","Courge","Date 3","23","Plastique",6,2,23.5,"125",NA,NA,1,"4",NA,NA,4.9,7.73,79787,53191489,0.1,15,1e-04,10
"C213","C213","Courge","Date 3","23","Plastique",6,3,24.63,"125",NA,NA,1,"4",NA,NA,6.66,7.82,4567600,65976451,1,9,1e-04,13
"C214","C214","Courge","Date 3","24","Seigle",6,1,18.75,"125",NA,NA,2,"8",NA,NA,4.29,8.19,19333,153333333,1,29,1e-04,23
"C215","C215","Courge","Date 3","24","Seigle",6,2,16.08,"125",NA,NA,2,"8",NA,NA,4.59,8,38868,101057214,0.1,5,1e-04,13
"C216","C216","Courge","Date 3","24","Seigle",6,3,17.04,"125",NA,NA,2,"8",NA,NA,4.47,8.04,29343,110035211,0.1,4,1e-04,15
"S1","S1","Sol","Date 0","1","Sol_nu",1,1,0.93,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S2","S2","Sol","Date 0","1","Sol_nu",1,2,1.38,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S3","S3","Sol","Date 0","1","Sol_nu",1,3,0.94,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4","S4","Sol","Date 0","2","Plastique",1,1,1.32,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S5","S5","Sol","Date 0","2","Plastique",1,2,1.32,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6","S6","Sol","Date 0","2","Plastique",1,3,0.86,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S7","S7","Sol","Date 0","3","Seigle",1,1,1.18,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8","S8","Sol","Date 0","3","Seigle",1,2,0.69,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S9","S9","Sol","Date 0","3","Seigle",1,3,0.53,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S10","S10","Sol","Date 0","4","Seigle_Bru",1,1,0.65,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S11","S11","Sol","Date 0","4","Seigle_Bru",1,2,0.75,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S12","S12","Sol","Date 0","4","Seigle_Bru",1,3,0.94,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S13","S13","Sol","Date 0","5","Plastique",2,1,0.59,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S14","S14","Sol","Date 0","5","Plastique",2,2,0.56,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S15","S15","Sol","Date 0","5","Plastique",2,3,0.49,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S16","S16","Sol","Date 0","6","Seigle_Bru",2,1,0.59,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S17","S17","Sol","Date 0","6","Seigle_Bru",2,2,0.56,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S18","S18","Sol","Date 0","6","Seigle_Bru",2,3,0.51,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S19","S19","Sol","Date 0","7","Sol_nu",2,1,0.78,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20","S20","Sol","Date 0","7","Sol_nu",2,2,0.84,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S21","S21","Sol","Date 0","7","Sol_nu",2,3,0.48,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S22","S22","Sol","Date 0","8","Seigle",2,1,0.49,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S23","S23","Sol","Date 0","8","Seigle",2,2,0.59,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S24","S24","Sol","Date 0","8","Seigle",2,3,0.71,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S25","S25","Sol","Date 0","9","Sol_nu",3,1,0.6,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S26","S26","Sol","Date 0","9","Sol_nu",3,2,0.64,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S27","S27","Sol","Date 0","9","Sol_nu",3,3,0.76,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S28","S28","Sol","Date 0","10","Seigle",3,1,0.61,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S29","S29","Sol","Date 0","10","Seigle",3,2,0.55,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S30","S30","Sol","Date 0","10","Seigle",3,3,0.54,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S31","S31","Sol","Date 0","11","Seigle_Bru",3,1,0.48,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S32","S32","Sol","Date 0","11","Seigle_Bru",3,2,0.67,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S33","S33","Sol","Date 0","11","Seigle_Bru",3,3,0.55,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S34","S34","Sol","Date 0","12","Plastique",3,1,0.63,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S35","S35","Sol","Date 0","12","Plastique",3,2,0.83,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S36","S36","Sol","Date 0","12","Plastique",3,3,0.48,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S37","S37","Sol","Date 0","13","Plastique",4,1,0.73,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S38","S38","Sol","Date 0","13","Plastique",4,2,0.61,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S39","S39","Sol","Date 0","13","Plastique",4,3,0.52,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S40","S40","Sol","Date 0","14","Sol_nu",4,1,0.53,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S41","S41","Sol","Date 0","14","Sol_nu",4,2,0.56,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S42","S42","Sol","Date 0","14","Sol_nu",4,3,0.46,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S43","S43","Sol","Date 0","15","Seigle",4,1,0.56,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S44","S44","Sol","Date 0","15","Seigle",4,2,0.54,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S45","S45","Sol","Date 0","15","Seigle",4,3,0.6,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S46","S46","Sol","Date 0","16","Seigle_Bru",4,1,0.61,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S47","S47","Sol","Date 0","16","Seigle_Bru",4,2,0.81,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S48","S48","Sol","Date 0","16","Seigle_Bru",4,3,0.47,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S49","S49","Sol","Date 0","17","Plastique",4,1,1.1,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S50","S50","Sol","Date 0","17","Plastique",5,2,0.46,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S51","S51","Sol","Date 0","17","Plastique",5,3,0.53,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S52","S52","Sol","Date 0","18","Seigle",5,1,0.52,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S53","S53","Sol","Date 0","18","Seigle",5,2,0.46,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S54","S54","Sol","Date 0","18","Seigle",5,3,0.55,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S55","S55","Sol","Date 0","19","Seigle_Bru",5,1,0.58,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S56","S56","Sol","Date 0","19","Seigle_Bru",5,2,0.53,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S57","S57","Sol","Date 0","19","Seigle_Bru",5,3,0.64,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S58","S58","Sol","Date 0","20","Sol_nu",5,1,0.52,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S59","S59","Sol","Date 0","20","Sol_nu",5,2,0.55,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S60","S60","Sol","Date 0","20","Sol_nu",5,3,0.55,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S61","S61","Sol","Date 0","21","Sol_nu",6,1,0.56,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S62","S62","Sol","Date 0","21","Sol_nu",6,2,0.55,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S63","S63","Sol","Date 0","21","Sol_nu",6,3,0.58,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S64","S64","Sol","Date 0","22","Seigle_Bru",6,1,0.57,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S65","S65","Sol","Date 0","22","Seigle_Bru",6,2,0.67,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S66","S66","Sol","Date 0","22","Seigle_Bru",6,3,0.71,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S67","S67","Sol","Date 0","23","Plastique",6,1,0.56,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S68","S68","Sol","Date 0","23","Plastique",6,2,0.58,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S69","S69","Sol","Date 0","23","Plastique",6,3,0.95,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S70","S70","Sol","Date 0","24","Seigle",6,1,0.56,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S71","S71","Sol","Date 0","24","Seigle",6,2,0.56,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S72","S72","Sol","Date 0","24","Seigle",6,3,0.62,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S73","S73","Sol","Date 1","1","Sol_nu",1,1,0.56,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S74","S74","Sol","Date 1","1","Sol_nu",1,2,0.7,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S75","S75","Sol","Date 1","1","Sol_nu",1,3,0.73,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S76","S76","Sol","Date 1","2","Plastique",1,1,0.73,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S77","S77","Sol","Date 1","2","Plastique",1,2,0.72,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S78","S78","Sol","Date 1","2","Plastique",1,3,0.81,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S79","S79","Sol","Date 1","3","Seigle",1,1,0.62,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S80","S80","Sol","Date 1","3","Seigle",1,2,0.67,NA,NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S81","S81","Sol","Date 1","3","Seigle",1,3,0.84,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S82","S82","Sol","Date 1","4","Seigle_Bru",1,1,0.86,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S83","S83","Sol","Date 1","4","Seigle_Bru",1,2,0.99,NA,NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S84","S84","Sol","Date 1","4","Seigle_Bru",1,3,0.83,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S85","S85","Sol","Date 1","5","Plastique",2,1,0.95,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S86","S86","Sol","Date 1","5","Plastique",2,2,0.67,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S87","S87","Sol","Date 1","5","Plastique",2,3,0.76,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S88","S88","Sol","Date 1","6","Seigle_Bru",2,1,0.86,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S89","S89","Sol","Date 1","6","Seigle_Bru",2,2,1.17,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S90","S90","Sol","Date 1","6","Seigle_Bru",2,3,0.97,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S91","S91","Sol","Date 1","7","Sol_nu",2,1,1.1,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S92","S92","Sol","Date 1","7","Sol_nu",2,2,1.1,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S93","S93","Sol","Date 1","7","Sol_nu",2,3,0.77,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S94","S94","Sol","Date 1","8","Seigle",2,1,0.75,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S95","S95","Sol","Date 1","8","Seigle",2,2,0.95,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S96","S96","Sol","Date 1","8","Seigle",2,3,0.73,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S97","S97","Sol","Date 1","9","Sol_nu",3,1,0.73,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S98","S98","Sol","Date 1","9","Sol_nu",3,2,0.95,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S99","S99","Sol","Date 1","9","Sol_nu",3,3,1.01,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S100","S100","Sol","Date 1","10","Seigle",3,1,0.74,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S101","S101","Sol","Date 1","10","Seigle",3,2,0.82,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S102","S102","Sol","Date 1","10","Seigle",3,3,0.68,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S103","S103","Sol","Date 1","11","Seigle_Bru",3,1,1.07,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S104","S104","Sol","Date 1","11","Seigle_Bru",3,2,0.87,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S105","S105","Sol","Date 1","11","Seigle_Bru",3,3,0.87,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S106","S106","Sol","Date 1","12","Plastique",3,1,0.69,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S107","S107","Sol","Date 1","12","Plastique",3,2,1.3,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S108","S108","Sol","Date 1","12","Plastique",3,3,0.84,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S109","S109","Sol","Date 1","13","Plastique",4,1,1.02,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S110","S110","Sol","Date 1","13","Plastique",4,2,1.28,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S111","S111","Sol","Date 1","13","Plastique",4,3,0.88,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S112","S112","Sol","Date 1","14","Sol_nu",4,1,0.89,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S113","S113","Sol","Date 1","14","Sol_nu",4,2,1.24,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S114","S114","Sol","Date 1","14","Sol_nu",4,3,0.75,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S115","S115","Sol","Date 1","15","Seigle",4,1,0.76,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S116","S116","Sol","Date 1","15","Seigle",4,2,1.03,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S117","S117","Sol","Date 1","15","Seigle",4,3,1.03,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S118","S118","Sol","Date 1","16","Seigle_Bru",4,1,0.62,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S119","S119","Sol","Date 1","16","Seigle_Bru",4,2,0.85,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S120","S120","Sol","Date 1","16","Seigle_Bru",4,3,1,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S121","S121","Sol","Date 1","17","Plastique",4,1,0.87,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S122","S122","Sol","Date 1","17","Plastique",5,2,0.65,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S123","S123","Sol","Date 1","17","Plastique",5,3,1.34,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S124","S124","Sol","Date 1","18","Seigle",5,1,0.82,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S125","S125","Sol","Date 1","18","Seigle",5,2,0.62,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S126","S126","Sol","Date 1","18","Seigle",5,3,0.75,NA,NA,NA,2,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S127","S127","Sol","Date 1","19","Seigle_Bru",5,1,0.81,NA,NA,NA,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
